A,B
"(280, -40, 0, 0)","[199.89457705652583, 0, 348]"
"(280, -40, 1, 0)","[199.88510688736298, 0, 360]"
"(280, -50, 4, 0)","[199.86624248471983, 0, 348]"
"(280, -60, 6, 0)","[199.84685105486102, 0, 360]"
"(210, -80, -9, 0)","[199.84509888905652, 0, 643]"
"(210, -70, -8, 0)","[199.83285540430322, 0, 513]"
"(210, -70, -7, 0)","[199.82020564371945, 0, 577]"
"(210, -60, -6, 0)","[199.8216404405216, 0, 713]"
"(210, -60, -5, 0)","[199.810600772262, 0, 531]"
"(210, -50, -4, 0)","[199.81477186282274, 0, 643]"
"(210, -50, -3, 0)","[199.8039166427546, 0, 640]"
"(210, -50, -2, 0)","[199.7946867116742, 0, 576]"
"(210, -50, -1, 0)","[199.79176412101316, 0, 530]"
"(210, -50, 0, 0)","[199.7924436505346, 0, 529]"
"(210, -50, 1, 0)","[199.79992525704677, 0, 573]"
"(210, -50, 2, 0)","[199.82010921269912, 0, 635]"
"(210, -50, 3, 0)","[199.80756752628872, 0, 322]"
"(210, -60, 4, 0)","[199.67814024769672, 0, 348]"
"(140, -60, 5, 0)","[199.81619961516117, 0, 713]"
"(140, -70, 6, 0)","[199.80617375386544, 0, 577]"
"(140, -70, 7, 0)","[199.86064674134138, 0, 513]"
"(140, -80, 8, 0)","[-895.9711118010587, 199.85503412336578, 643]"
"(140, -90, 9, 0)","[-870.895014353783, 199.7310371715276, 72]"
"(140, -100, 10, 0)","[-2.494733095689938, 0, 4]"
"(140, -110, 10, 0)","[199.45225532219837, 0, 348]"
"(140, -120, 10, 0)","[199.43301121168463, 0, 347]"
"(140, -130, 10, 0)","[-603.1639614637118, 199.41309906652532, 347]"
"(140, -140, 10, 0)","[-70.21947995964406, -841.0270723832293, 3]"
"(140, -140, -9, 0)","[81.57108863722976, 0, 3]"
"(140, -130, -8, 0)","[76.86220212652894, 0, 3]"
"(140, -130, -7, 0)","[57.67597691942428, 0, 1]"
"(140, -120, -6, 0)","[67.15804723016218, 0, 2]"
"(140, -120, -5, 0)","[56.08871635454785, 0, 1]"
"(140, -110, -4, 0)","[61.37829970180364, 0, 2]"
"(130, -110, -3, 0)","[53.91656675689462, 0, 1]"
"(130, -110, -2, 0)","[52.546610792210615, 0, 1]"
"(130, -110, -1, 0)","[50.94400259257771, 0, 1]"
"(120, -110, 0, 0)","[49.069232083349654, 0, 1]"
"(120, -110, 1, 0)","[46.876079406933606, 0, 1]"
"(110, -110, 2, 0)","[44.310475436530105, 0, 1]"
"(110, -110, 3, 0)","[41.30916877706547, 0, 1]"
"(110, -120, 4, 0)","[37.79816639007973, 0, 1]"
"(100, -120, 5, 0)","[33.69090939834718, 0, 1]"
"(100, -130, 6, 0)","[28.886139097231347, 0, 1]"
"(90, -130, 7, 0)","[11.329325790343507, 0, 2]"
"(90, -140, 8, 0)","[16.690122307800003, 0, 1]"
"(90, -150, 9, 0)","[17.568773107200023, 0, 2]"
"(80, -160, 10, 0)","[-899.8200000000002, -195.61044358959026, 86]"
"(80, -170, 10, 0)","[-899.8200000000002, 58.99890580129034, 2]"
"(70, -180, 10, 0)","[92.70592241215844, 0, 1]"
"(350, 10, -6, 0)","[199.98216673704962, 0, 351]"
"(350, 10, 5, 0)","[199.97036641053387, 0, 351]"
"(350, -20, 9, 0)","[199.9664729570515, 0, 351]"
"(350, -30, 10, 0)","[199.96518034038726, 0, 681]"
"(280, -40, -6, 0)","[199.94654526296927, 0, 340]"
"(280, -30, -3, 0)","[199.94078879256736, 0, 347]"
"(280, -30, 2, 0)","[199.9314484262029, 0, 343]"
"(210, -40, 5, 0)","[52.00183183551493, 0, 8]"
"(210, -70, 9, 0)","[199.82882433746659, -849.907207930963, 38]"
"(210, -80, 10, 0)","[199.87614316249096, -849.4699716631026, 357]"
"(210, -90, -9, 0)","[199.79327281476105, 0, 385]"
"(210, -80, -8, 0)","[199.78854943420572, 0, 445]"
"(210, -60, -4, 0)","[199.74341488388757, 0, 385]"
"(140, -50, 2, 0)","[199.56824910376972, 0, 41]"
"(140, -60, 3, 0)","[89.30370558925651, 0, 2]"
"(140, -60, 4, 0)","[199.82654800291598, 0, 183]"
"(140, -80, 7, 0)","[199.53733432419463, 0, 445]"
"(140, -90, 8, 0)","[199.50297845817246, 0, 385]"
"(140, -120, -7, 0)","[72.02878893530838, 0, 2]"
"(140, -110, -6, 0)","[55.38150696858701, 0, 1]"
"(130, -110, -5, 0)","[54.26249396038842, 0, 1]"
"(130, -110, -4, 0)","[52.953401361356725, 0, 1]"
"(130, -100, -3, 0)","[51.42194156572992, 0, 1]"
"(120, -100, -2, 0)","[49.630342478426144, 0, 1]"
"(120, -100, -1, 0)","[47.53441589988089, 0, 1]"
"(110, -100, 0, 0)","[45.0824676633681, 0, 1]"
"(110, -100, 1, 0)","[42.21402264431068, 0, 1]"
"(110, -100, 2, 0)","[38.85833319506794, 0, 1]"
"(100, -110, 3, 0)","[34.932634217069285, 0, 1]"
"(100, -110, 4, 0)","[30.340101833198833, 0, 1]"
"(90, -110, 5, 0)","[24.967465312899122, 0, 1]"
"(90, -120, 6, 0)","[18.682213350248528, 0, 1]"
"(80, -140, 8, 0)","[-899.7900000000002, 0, 1]"
"(80, -140, 9, 0)","[-899.7900000000002, 0, 1]"
"(70, -150, 10, 0)","[-18.75446562036811, -1006.5855968007536, 22]"
"(280, -60, -9, 0)","[199.95461563421694, 0, 344]"
"(280, -50, -8, 0)","[199.9530716308102, 0, 343]"
"(280, -30, -4, 0)","[199.94617571179916, 0, 344]"
"(210, -30, 2, 0)","[104.2939192941668, 0, 4]"
"(210, -30, 3, 0)","[199.82633795695858, 0, 74]"
"(210, -50, 7, 0)","[199.9151269411271, 0, 343]"
"(210, -60, 8, 0)","[-476.2663607934124, 199.9103064746891, 344]"
"(140, -50, -3, 0)","[199.63792834640682, 0, 71]"
"(140, -50, -2, 0)","[199.62379640311423, 0, 70]"
"(140, -50, -1, 0)","[199.60964953841636, 0, 70]"
"(140, -50, 0, 0)","[199.59559204322613, 0, 70]"
"(140, -50, 1, 0)","[199.58174599469797, 0, 72]"
"(140, -50, 3, 0)","[199.8134720096653, 0, 354]"
"(420, 40, -7, 0)","[199.98780406429032, 0, 387]"
"(350, 50, -5, 0)","[199.98699448987824, 0, 396]"
"(350, 60, -2, 0)","[199.98568802890563, 0, 387]"
"(350, 60, -1, 0)","[199.98518422643997, 0, 396]"
"(350, 60, 0, 0)","[199.98464507040757, 0, 396]"
"(350, 60, 1, 0)","[199.98409026831024, 0, 387]"
"(350, 50, 4, 0)","[199.98228342198425, 0, 396]"
"(350, 40, 6, 0)","[199.9806985166166, 0, 387]"
"(210, -70, -9, 0)","[58.80129926334349, 0, 1]"
"(210, -60, -8, 0)","[58.26777186763452, 0, 1]"
"(210, -60, -7, 0)","[199.8618960444967, 0, 281]"
"(210, -50, -6, 0)","[56.91330318266226, 0, 1]"
"(210, -50, -5, 0)","[199.84631717568251, 0, 359]"
"(210, -40, -4, 0)","[55.059356009807544, 0, 1]"
"(210, -40, -3, 0)","[199.8863375726247, 0, 145]"
"(210, -40, -2, 0)","[199.85637236028424, 0, 280]"
"(140, -40, -1, 0)","[199.79830317932652, 0, 363]"
"(140, -40, 0, 0)","[199.79122128604865, 0, 364]"
"(140, -40, 1, 0)","[199.7834033267814, 0, 436]"
"(140, -40, 2, 0)","[199.76569668122426, 0, 288]"
"(140, -40, 3, 0)","[199.75516971344913, 0, 289]"
"(140, -50, 4, 0)","[199.86047650880678, 0, 174]"
"(140, -50, 5, 0)","[33.68184720944716, 0, 1]"
"(140, -60, 6, 0)","[199.85766737092501, 0, 281]"
"(140, -60, 7, 0)","[23.260989166263123, 0, 1]"
"(140, -70, 8, 0)","[16.687683692550006, 0, 1]"
"(140, -80, 9, 0)","[8.997300000000003, 0, 1]"
"(140, -90, 10, 0)","[-899.7300000000002, 14.167639435961831, 3]"
"(420, 50, -9, 0)","[199.98914057291168, 0, 379]"
"(420, 60, -8, 0)","[199.98904532795973, 0, 367]"
"(420, 70, -7, 0)","[199.98859382206868, 0, 363]"
"(350, 70, -6, 0)","[199.98779117010614, 0, 379]"
"(350, 80, -5, 0)","[199.98784571169261, 0, 363]"
"(350, 80, -4, 0)","[199.98692987401895, 0, 379]"
"(350, 90, -3, 0)","[199.98717707266678, 0, 363]"
"(350, 90, -2, 0)","[199.98673719607257, 0, 363]"
"(350, 90, -1, 0)","[199.98624196423066, 0, 363]"
"(350, 90, 0, 0)","[199.9857232589834, 0, 363]"
"(350, 90, 1, 0)","[199.98517525482507, 0, 363]"
"(350, 90, 2, 0)","[199.98458732326125, 0, 363]"
"(350, 80, 3, 0)","[199.9837927889099, 0, 379]"
"(350, 80, 4, 0)","[199.98376813708362, 0, 363]"
"(350, 70, 5, 0)","[199.98279583849617, 0, 379]"
"(350, 70, 6, 0)","[199.98289594780908, 0, 363]"
"(350, 60, 7, 0)","[199.98219312699393, 0, 367]"
"(350, 50, 8, 0)","[199.98102124091022, 0, 379]"
"(350, 40, 9, 0)","[199.98028389312432, 0, 379]"
"(350, 30, 10, 0)","[199.97960694450708, 0, 741]"
"(280, 10, 10, 0)","[199.97740116185707, 0, 1072]"
"(280, -40, -7, 0)","[199.9540347731412, 0, 354]"
"(280, -30, -5, 0)","[199.95078904936267, 0, 351]"
"(280, -20, -3, 0)","[199.94651926848894, 0, 361]"
"(280, -20, -2, 0)","[199.9444023056966, 0, 354]"
"(210, -20, -1, 0)","[199.83203338025385, 0, 1024]"
"(210, -20, 0, 0)","[199.82175174738066, 0, 871]"
"(210, -20, 1, 0)","[199.82418462180388, 0, 821]"
"(210, -20, 2, 0)","[199.81065750070672, 0, 792]"
"(210, -30, 4, 0)","[199.8393055596536, 0, 171]"
"(210, -40, 6, 0)","[199.82470080753666, 0, 210]"
"(210, -60, -9, 0)","[199.90307153240147, 0, 340]"
"(210, -50, -8, 0)","[199.8906473332085, 0, 975]"
"(210, -40, -7, 0)","[199.88329965344835, 0, 1881]"
"(210, -40, -6, 0)","[56.04900141898547, 0, 1]"
"(210, -30, -5, 0)","[199.8690600473662, 0, 1561]"
"(210, -30, -4, 0)","[199.8666458407496, 0, 340]"
"(210, -20, -3, 0)","[199.8523867974128, 0, 2222]"
"(140, -20, -2, 0)","[199.84485210902187, 0, 527]"
"(140, -20, -1, 0)","[199.82940998268708, 0, 614]"
"(140, -20, 0, 0)","[199.81005157110212, 0, 768]"
"(140, -20, 1, 0)","[199.79504400386776, 0, 1171]"
"(140, -20, 2, 0)","[199.77976614728405, 0, 1902]"
"(140, -30, 3, 0)","[199.78877922655283, 0, 272]"
"(140, -30, 4, 0)","[199.75116285433137, 0, 1395]"
"(140, -40, 5, 0)","[28.877259630656297, 0, 1]"
"(140, -40, 6, 0)","[199.7212843997392, 0, 1675]"
"(140, -50, 7, 0)","[-474.9600119378273, 199.70537145899058, 975]"
