A,B
"(140, -100, -2, 0)","[198.74698798643755, 0, 247]"
"(140, -100, 1, 0)","[44.096258615942574, 0, 1]"
"(140, -100, 2, 0)","[41.048255691160904, 0, 1]"
"(140, -100, 3, 0)","[198.19330792156455, 0, 81]"
"(140, -110, 5, 0)","[24.494671237499997, 0, 1]"
"(140, -120, 6, 0)","[18.1224225, 0, 1]"
"(140, -130, 8, 0)","[-900.0, 196.98604847355642, 81]"
"(140, -140, 9, 0)","[-900.0, 0, 1]"
"(140, -150, 10, 0)","[-8.196796765930337, 199.3042581293797, 776]"
"(420, -60, -9, 0)","[199.95762247448778, 0, 386]"
"(420, -50, -8, 0)","[199.9556060564453, 0, 391]"
"(420, -40, -7, 0)","[199.95475641272122, 0, 379]"
"(350, -40, -6, 0)","[199.95129039576324, 0, 384]"
"(350, -30, -5, 0)","[199.94696697600213, 0, 382]"
"(350, -30, -4, 0)","[199.94693036178253, 0, 386]"
"(350, -20, -3, 0)","[199.94543133076422, 0, 366]"
"(350, -20, -2, 0)","[199.94188642503408, 0, 379]"
"(350, -20, -1, 0)","[199.93621854970615, 0, 382]"
"(350, -20, 0, 0)","[199.932447404898, 0, 382]"
"(350, -20, 1, 0)","[199.9354991993883, 0, 379]"
"(350, -20, 2, 0)","[199.9333841407423, 0, 366]"
"(350, -30, 3, 0)","[199.93037774788795, 0, 386]"
"(350, -30, 4, 0)","[199.92033611602366, 0, 382]"
"(350, -40, 5, 0)","[199.92638852084642, 0, 384]"
"(350, -40, 6, 0)","[199.92088136892883, 0, 379]"
"(350, -50, 7, 0)","[199.92108419218727, 0, 391]"
"(350, -60, 8, 0)","[199.91820820421867, 0, 386]"
"(350, -70, 9, 0)","[199.91514598943127, 0, 384]"
"(350, -80, 10, 0)","[199.9117854299559, 0, 757]"
"(350, -90, 10, 0)","[199.9080337468689, 0, 480]"
"(280, -90, -7, 0)","[199.85837937012033, 0, 392]"
"(280, -70, -3, 0)","[199.82826840043396, 0, 217]"
"(280, -70, -2, 0)","[199.82596891950467, 0, 392]"
"(280, -70, 1, 0)","[199.80260956830213, 0, 392]"
"(280, -70, 2, 0)","[199.75110107023335, 0, 217]"
"(280, -80, 3, 0)","[199.81139410069608, 0, 773]"
"(280, -80, 4, 0)","[199.79752967456676, 0, 285]"
"(210, -90, 6, 0)","[199.76348274982576, 0, 392]"
"(210, -120, -9, 0)","[199.73227345309033, 0, 773]"
"(210, -110, -8, 0)","[199.7188553143514, 0, 606]"
"(210, -100, -7, 0)","[199.68548355757642, 0, 392]"
"(210, -100, -6, 0)","[199.68999138967615, 0, 853]"
"(210, -90, -5, 0)","[199.66679346304744, 0, 465]"
"(210, -90, -4, 0)","[199.65867394323305, 0, 773]"
"(210, -80, -3, 0)","[199.6205132203635, 0, 217]"
"(210, -80, -2, 0)","[199.60386660971824, 0, 392]"
"(210, -80, -1, 0)","[199.5931573221672, 0, 465]"
"(140, -90, 3, 0)","[199.52243646963353, 0, 677]"
"(140, -90, 4, 0)","[199.48331930537873, 0, 465]"
