A,B
"(140, -40, 2, 0)","[199.1818716607956, 0, 62]"
"(140, -40, 3, 0)","[46.91349096160535, 0, 1]"
"(140, -40, 4, 0)","[143.78019627001785, 0, 6]"
"(140, -50, 5, 0)","[41.33715120769514, 0, 1]"
"(140, -50, 6, 0)","[139.19339197431447, 0, 6]"
"(140, -60, 7, 0)","[-676.9407242119922, 136.8270372209697, 6]"
"(140, -70, 8, 0)","[28.899462374999995, 0, 1]"
"(140, -80, 9, 0)","[23.274224999999994, 0, 1]"
"(140, -90, 10, 0)","[92.55055316708213, 0, 2]"
"(140, -100, 10, 0)","[199.53103811679773, 0, 877]"
"(140, -110, 10, 0)","[-900.0, 199.54477234108353, 877]"
"(140, -120, 10, 0)","[147.19516876908557, -848.376678158627, 61]"
"(420, -50, -9, 0)","[199.68632160085332, 0, 286]"
"(420, -40, -8, 0)","[199.6634717554761, 0, 286]"
"(420, -30, -7, 0)","[199.63895061410602, 0, 273]"
"(350, -30, -6, 0)","[199.61272042237812, 0, 282]"
"(350, -20, -5, 0)","[199.58469005280574, 0, 268]"
"(350, -20, -4, 0)","[199.5547640959521, 0, 286]"
"(350, -20, -3, 0)","[199.5229513508822, 0, 283]"
"(350, -10, -2, 0)","[199.4891956198802, 0, 273]"
"(350, -10, -1, 0)","[199.45301227298478, 0, 268]"
"(350, -10, 0, 0)","[199.41464368882032, 0, 268]"
"(350, -10, 1, 0)","[199.37402963269201, 0, 273]"
"(350, -20, 2, 0)","[199.33111354466936, 0, 283]"
"(350, -20, 3, 0)","[199.28583972281967, 0, 286]"
"(350, -20, 4, 0)","[199.23820615206108, 0, 268]"
"(350, -30, 5, 0)","[199.18787118954018, 0, 282]"
"(350, -30, 6, 0)","[199.1348635841386, 0, 273]"
"(350, -40, 7, 0)","[199.07905524424325, 0, 286]"
"(350, -50, 8, 0)","[199.02052486708664, 0, 286]"
"(350, -60, 9, 0)","[198.95915519624842, 0, 282]"
"(350, -70, 10, 0)","[199.70169477384616, 0, 553]"
"(350, -80, 10, 0)","[198.99473442952961, 0, 569]"
"(280, -60, -6, 0)","[198.26789059884456, 0, 282]"
"(280, -50, -3, 0)","[197.9369349056603, 0, 235]"
"(280, -50, 2, 0)","[197.34170377906318, 0, 235]"
"(280, -50, 3, 0)","[197.22405482514802, 0, 308]"
"(280, -50, 4, 0)","[198.9032590079086, 0, 411]"
"(280, -60, 5, 0)","[196.989140712134, 0, 282]"
"(280, -60, 6, 0)","[196.8742539439247, 0, 273]"
"(210, -90, 9, 0)","[196.54029324125494, 0, 282]"
"(210, -100, -9, 0)","[196.18237136429497, 0, 592]"
"(210, -90, -8, 0)","[196.00158745284298, 0, 475]"
"(210, -80, -7, 0)","[195.77496220143868, 0, 287]"
"(210, -80, -6, 0)","[195.90493205868174, 0, 650]"
"(210, -70, -5, 0)","[195.28332171467918, 0, 344]"
"(210, -70, -4, 0)","[195.72224590922397, 0, 592]"
"(210, -70, -3, 0)","[195.5791437539838, 0, 495]"
"(210, -60, -2, 0)","[194.34899192992668, 0, 287]"
"(210, -60, -1, 0)","[194.01153964243605, 0, 344]"
"(210, -60, 0, 0)","[193.66359302206408, 0, 344]"
"(210, -60, 1, 0)","[193.30993213448528, 0, 287]"
"(210, -70, 2, 0)","[195.80899862856987, 0, 495]"
"(210, -70, 3, 0)","[195.92197612903664, 0, 592]"
"(140, -70, 4, 0)","[191.9026495961547, 0, 134]"
"(140, -80, 5, 0)","[196.15459339185236, 0, 567]"
"(140, -80, 6, 0)","[190.16465330624885, 0, 287]"
"(140, -90, 7, 0)","[189.52984889660664, 0, 475]"
"(140, -100, 8, 0)","[-590.1715166018221, 197.00515000223933, 592]"
"(140, -110, 9, 0)","[149.9132114087665, -780.4116160654428, 65]"
"(140, -110, -9, 0)","[199.0019702496413, 0, 76]"
"(140, -100, -8, 0)","[199.58777815416926, 0, 266]"
"(140, -90, -7, 0)","[199.57857843504132, 0, 514]"
"(140, -90, -6, 0)","[59.36378156911582, 0, 1]"
"(140, -80, -5, 0)","[199.59793934546903, 0, 424]"
"(140, -80, -4, 0)","[199.03346763726347, 0, 76]"
"(140, -80, -3, 0)","[57.740853846553, 0, 1]"
"(140, -70, -2, 0)","[199.6172468032296, 0, 345]"
"(140, -70, -1, 0)","[199.57732025188895, 0, 280]"
"(140, -70, 0, 0)","[199.94572954617445, 0, 137]"
"(130, -70, 1, 0)","[199.474887357296, 0, 343]"
"(130, -80, 2, 0)","[52.59639419432745, 0, 1]"
"(130, -80, 3, 0)","[199.83595142740535, 0, 28]"
"(120, -80, 4, 0)","[-76.35100931228465, 199.26687309697087, 278]"
"(120, -90, 5, 0)","[46.91349096160535, 0, 1]"
"(110, -90, 6, 0)","[199.76777255746148, 0, 40]"
"(110, -100, 7, 0)","[46.201898428439804, 0, 5]"
"(110, -110, 8, 0)","[72.30128081314037, 0, 2]"
"(100, -120, 9, 0)","[33.709040330624994, 0, 1]"
"(100, -130, 10, 0)","[168.1717316822799, -846.5265790813959, 7]"
"(90, -140, 10, 0)","[15.553662784607909, -853.3945816908707, 41]"
"(90, -150, 10, 0)","[-3.4323731090401104, -843.1624987601577, 8]"
"(90, -160, 10, 0)","[49.31887345637188, -855.0300829638501, 87]"
"(80, -170, 10, 0)","[-900.0, -850.956889859083, 4]"
"(80, -180, 10, 0)","[-900.0, 0, 1]"
"(70, -240, 10, 0)","[168.5280729063016, 0, 2]"
