A,B
"(140, -40, -3, 0)","[196.03135464856845, 0, 298]"
"(140, -40, -2, 0)","[195.96568707590058, 0, 235]"
"(140, -40, -1, 0)","[195.8207059855215, 0, 198]"
"(130, -40, 0, 0)","[53.63904376752881, 0, 1]"
"(130, -40, 1, 0)","[52.28757631430088, 0, 1]"
"(130, -40, 2, 0)","[50.704943127237755, 0, 1]"
"(120, -40, 3, 0)","[48.85160378206069, 0, 1]"
"(120, -50, 4, 0)","[46.68125454607923, 0, 1]"
"(110, -50, 5, 0)","[44.139671528169856, 0, 1]"
"(110, -60, 6, 0)","[41.16335595193302, 0, 1]"
"(110, -70, 7, 0)","[47.83500550299428, 0, 2]"
"(100, -70, 8, 0)","[156.0143156131928, 0, 86]"
"(100, -80, 9, 0)","[49.06716114077793, 0, 23]"
"(90, -90, 10, 0)","[151.77648005533547, -848.3254413363192, 370]"
"(90, -100, 10, 0)","[-412.07431403324995, -840.8310393424555, 53]"
"(90, -110, 10, 0)","[-55.393328719703845, -842.6864600893432, 39]"
"(80, -120, 10, 0)","[-898.8799999999997, -688.0128140713625, 58]"
"(80, -130, 10, 0)","[-898.8799999999997, -117.33385321271163, 38]"
"(70, -140, 10, 0)","[64.22100639558226, 0, 1]"
"(420, 20, -9, 0)","[199.86379470534953, 0, 348]"
"(420, 20, -8, 0)","[199.8439710420151, 0, 341]"
"(420, 30, -7, 0)","[199.83977191183163, 0, 353]"
"(350, 40, -6, 0)","[199.8354115609639, 0, 346]"
"(350, 40, -5, 0)","[199.81962552726353, 0, 336]"
"(350, 50, -4, 0)","[199.81932757582902, 0, 348]"
"(350, 50, -3, 0)","[199.80703162331338, 0, 344]"
"(350, 50, -2, 0)","[199.79316340517173, 0, 353]"
"(350, 50, -1, 0)","[199.78121292284678, 0, 336]"
"(350, 50, 0, 0)","[199.7717847770003, 0, 336]"
"(350, 50, 1, 0)","[199.76323859282627, 0, 353]"
"(350, 50, 2, 0)","[199.75790821229953, 0, 344]"
"(350, 50, 3, 0)","[199.75296900431914, 0, 348]"
"(350, 40, 4, 0)","[199.7325926018841, 0, 336]"
"(350, 40, 5, 0)","[199.73099311504697, 0, 346]"
"(350, 30, 6, 0)","[199.71248739101821, 0, 353]"
"(350, 20, 7, 0)","[199.69815642089074, 0, 341]"
"(350, 20, 8, 0)","[199.69849444625072, 0, 348]"
"(350, 10, 9, 0)","[199.68479807697125, 0, 346]"
"(140, -60, -9, 0)","[196.96399472130406, 0, 310]"
"(140, -60, -8, 0)","[196.87266646186825, 0, 380]"
"(140, -50, -7, 0)","[196.65443252356343, 0, 352]"
"(140, -40, -6, 0)","[196.2918257618578, 0, 355]"
"(140, -40, -5, 0)","[196.22291780643786, 0, 360]"
"(140, -30, -4, 0)","[195.72042446801956, 0, 309]"
"(140, -30, -3, 0)","[195.43336111563556, 0, 361]"
"(140, -30, -2, 0)","[195.3260043210324, 0, 352]"
"(130, -30, -1, 0)","[52.24364291324811, 0, 1]"
"(130, -30, 0, 0)","[50.664386909626, 0, 1]"
"(130, -30, 1, 0)","[48.814673160455136, 0, 1]"
"(120, -30, 2, 0)","[46.64818403771347, 0, 1]"
"(120, -30, 3, 0)","[46.49856741821909, 0, 2]"
"(110, -40, 4, 0)","[41.13858976245598, 0, 1]"
"(110, -40, 5, 0)","[34.88261267963964, 0, 4]"
"(110, -50, 6, 0)","[33.580298997255014, 0, 1]"
"(100, -60, 7, 0)","[173.6012653861161, 0, 187]"
"(100, -60, 8, 0)","[172.9779788946513, 0, 124]"
"(90, -70, 9, 0)","[171.65142710074267, 0, 355]"
"(90, -80, 10, 0)","[164.70840203944678, -850.9968315392745, 649]"
"(80, -90, -9, 0)","[166.03739164586096, -111.0681296499387, 845]"
"(70, -90, -8, 0)","[-256.88830532915347, -328.861450053561, 22]"
"(70, -80, -7, 0)","[158.47183483653606, -620.5529688672952, 226]"
"(70, -70, -6, 0)","[-243.97223988203172, 156.9242277507054, 150]"
"(60, -70, -5, 0)","[-392.0043344030186, -673.0574861476221, 21]"
"(60, -60, -4, 0)","[-437.44588745137116, -389.89303196469655, 11]"
"(50, -60, -3, 0)","[-638.167944424578, -631.83822157091, 11]"
"(50, -60, -2, 0)","[-656.0417366605614, -760.8735447280626, 16]"
"(50, -60, -1, 0)","[-917.4507165422426, -1113.3737780403171, 17]"
"(40, -60, 0, 0)","[-1380.076084137586, -1419.7944843332639, 15]"
"(40, -60, 1, 0)","[-1153.1066959101977, -1444.3547251032228, 12]"
"(30, -60, 2, 0)","[-969.7905088429949, -934.1360413572997, 6]"
"(30, -60, 3, 0)","[-898.7199999999997, -930.3672128530014, 3]"
"(30, -70, 4, 0)","[-1109.2425388513857, -1903.2561058558524, 6]"
"(420, 70, -9, 0)","[199.89020159204756, 0, 270]"
"(420, 80, -8, 0)","[199.88441068869366, 0, 206]"
"(420, 80, -7, 0)","[199.877994940233, 0, 328]"
"(350, 90, -6, 0)","[199.87202604933572, 0, 302]"
"(350, 100, -5, 0)","[199.8650378869515, 0, 137]"
"(350, 100, -4, 0)","[199.85946416331623, 0, 270]"
"(350, 100, -3, 0)","[199.85240992996498, 0, 333]"
"(350, 100, -2, 0)","[199.84359472930961, 0, 328]"
"(350, 110, -1, 0)","[199.837897200128, 0, 137]"
"(350, 110, 0, 0)","[199.82860676393665, 0, 137]"
"(350, 100, 1, 0)","[199.81787807281623, 0, 328]"
"(350, 100, 2, 0)","[199.80964734065319, 0, 333]"
"(350, 100, 3, 0)","[199.80098651790246, 0, 270]"
"(350, 100, 4, 0)","[199.7927408635683, 0, 137]"
"(350, 90, 5, 0)","[199.78243577601154, 0, 302]"
"(350, 80, 6, 0)","[199.7725033515011, 0, 328]"
"(350, 80, 7, 0)","[199.76558817969902, 0, 206]"
"(350, 70, 8, 0)","[199.75819934993206, 0, 270]"
"(350, 60, 9, 0)","[199.7495992816517, 0, 302]"
"(350, 50, 10, 0)","[199.74065330508074, 0, 302]"
"(280, 30, 10, 0)","[199.71788689255828, 0, 302]"
"(210, 0, -1, 0)","[198.9469080144233, 0, 1377]"
"(210, 0, 0, 0)","[199.01036738435556, 0, 1361]"
"(210, -10, 1, 0)","[199.22569080964752, 0, 1684]"
"(210, -10, 2, 0)","[199.16344703928618, 0, 2266]"
"(140, -20, -3, 0)","[195.46788904157154, 0, 70]"
"(140, -20, -2, 0)","[194.9952161187942, 0, 140]"
"(140, -10, -1, 0)","[198.88765191635423, 0, 356]"
"(140, -10, 0, 0)","[198.84222533418483, 0, 526]"
"(280, -110, -9, 0)","[59.71254264604609, 0, 1]"
"(280, -100, -8, 0)","[59.437295128235135, 0, 1]"
"(280, -90, -7, 0)","[59.11479487303179, 0, 1]"
"(280, -80, -6, 0)","[197.42403431693202, 0, 92]"
"(280, -80, -5, 0)","[58.294195332074935, 0, 1]"
"(280, -80, -4, 0)","[57.7754549984475, 0, 1]"
"(280, -70, -3, 0)","[196.91952402045573, 0, 35]"
"(280, -70, -2, 0)","[56.45552401302216, 0, 1]"
"(280, -70, -1, 0)","[55.62113232064277, 0, 1]"
"(280, -70, 0, 0)","[54.6434975871055, 0, 1]"
"(280, -70, 1, 0)","[53.49802876119596, 0, 1]"
"(280, -70, 2, 0)","[196.0821899083315, 0, 35]"
"(280, -80, 3, 0)","[50.583391710353766, 0, 1]"
"(210, -80, 4, 0)","[48.7409098166961, 0, 1]"
"(210, -80, 5, 0)","[46.582122389155145, 0, 1]"
"(210, -90, 6, 0)","[44.052728112146944, 0, 1]"
"(210, -100, 7, 0)","[41.089103566746694, 0, 1]"
"(210, -110, 8, 0)","[37.61670287147527, 0, 1]"
"(210, -110, 9, 0)","[195.23026337970583, 0, 92]"
"(210, -120, 10, 0)","[195.4618209676009, 0, 1145]"
"(210, -130, 10, 0)","[195.23675432194287, 0, 1145]"
"(210, -140, 10, 0)","[194.99996880978102, 0, 1145]"
"(210, -150, 10, 0)","[-713.5514826957626, 194.7576293338208, 1145]"
"(210, -160, 10, 0)","[-898.3999999999995, -848.2487487638981, 2]"
"(210, -170, 10, 0)","[-898.3999999999995, 0, 1]"
"(210, -180, 10, 0)","[102.16732770992266, 0, 1]"
"(420, 50, -7, 0)","[199.86071215201042, 0, 347]"
"(350, 70, -3, 0)","[199.82895619327078, 0, 337]"
"(350, 70, -2, 0)","[199.81719905957132, 0, 347]"
"(350, 70, 1, 0)","[199.79082045680977, 0, 347]"
"(350, 70, 2, 0)","[199.78382711010195, 0, 337]"
"(350, 50, 6, 0)","[199.74243963983608, 0, 347]"
"(280, -20, -7, 0)","[199.5152831740795, 0, 1245]"
"(280, 0, -3, 0)","[199.41707054518088, 0, 587]"
"(280, 0, -2, 0)","[199.39628316941074, 0, 1245]"
"(280, 0, 1, 0)","[199.37081394120077, 0, 869]"
"(280, 0, 2, 0)","[199.4036066884247, 0, 359]"
"(210, -20, 6, 0)","[199.4123721776158, 0, 1101]"
"(210, -40, -9, 0)","[199.27710711394315, 0, 2814]"
"(210, -30, -8, 0)","[199.24312011184512, 0, 2176]"
"(210, -20, -7, 0)","[199.20805648389054, 0, 1245]"
"(210, -20, -6, 0)","[199.2000765050967, 0, 3127]"
"(210, -10, -5, 0)","[199.1609119426496, 0, 1539]"
"(210, -10, -4, 0)","[199.15530009360708, 0, 2814]"
"(210, 0, -3, 0)","[199.00418611541292, 0, 587]"
"(210, 0, -2, 0)","[198.9275709120108, 0, 1140]"
"(210, 0, 1, 0)","[199.16877104926178, 0, 1108]"
"(140, 0, 2, 0)","[197.98269588087166, 0, 1079]"
"(140, -10, 3, 0)","[198.59186819642218, 0, 1825]"
